player_count,hour_of_day,day_of_week,hero_level,hero_kills,deaths,unit_kills,total_gold,highest_atk,highest_def,highest_speed,atk_range,gold_per_level,atk_per_level,def_per_level,speed_per_level,kd_ratio,total_kills,gold_efficiency,death_ratio,is_winner
7,0,2,18,4,5,97,11516,122,141,247,218,710,16,11,21,3.2669186749211687,81,1572.40013949038,2.011339995847528,1
7,0,0,5,16,7,15,14749,215,184,393,241,608,12,7,14,3.271976458428147,22,1820.5620312340836,0.8665182434325405,0
7,7,5,12,16,0,50,2130,252,155,423,124,707,13,4,29,0.7289146404120045,61,1396.6723832892876,1.7568125035185216,1
4,9,1,12,11,14,38,14969,103,152,335,133,271,8,9,12,3.2859171155837017,109,389.3951994287055,1.7740551121596284,0
5,10,1,19,14,0,85,7563,233,76,221,166,446,11,12,14,4.914164644946115,32,1409.6355719249632,2.157599086787301,1
5,11,4,6,14,11,75,3658,263,147,205,217,786,6,3,11,4.56791099074329,102,1343.7702572653495,2.235724458517324,0
2,12,6,2,5,6,87,4500,274,68,403,172,765,10,9,23,2.2517402379437677,103,1650.3750529279962,1.5433573032046182,0
4,11,1,12,11,7,39,9566,149,45,438,125,543,12,8,11,0.29574506910186227,17,1685.4475999739257,0.992975842810209,1
6,13,3,19,19,12,37,3120,158,51,384,247,253,16,9,22,1.875238101001004,72,1762.765536402162,2.5123526845042017,0
4,1,1,5,17,2,59,5020,136,83,491,203,727,11,12,16,4.149312526842721,32,945.4367262423771,0.9295969482254541,0
6,18,4,12,13,4,58,11213,222,178,419,109,731,11,5,19,3.5373455971793137,31,1456.1559116338597,1.5225272834079944,1
2,17,1,17,1,11,9,12897,286,45,315,166,757,12,5,22,2.3507839124103866,60,682.8506460601593,1.2037577496111842,1
3,2,3,17,8,0,98,14341,211,88,248,104,392,11,9,25,0.36999752227827243,53,1998.8053039703077,2.5652351579090644,0
5,22,0,10,4,6,63,4259,186,60,372,126,257,9,4,23,2.191784166334183,16,515.6016344783479,1.2957555934374865,1
2,16,6,17,19,4,62,12627,265,199,281,212,636,11,3,20,2.3982222046176296,18,218.20597698950445,1.1582975665124529,0
5,7,4,15,0,7,48,11081,57,61,244,114,310,17,11,19,4.649922111181266,90,467.8556861327168,2.0694710786929122,0
7,9,0,12,2,12,63,2823,56,191,219,204,328,18,11,15,3.2413219075525816,69,1596.570121179428,1.807323329584328,1
3,1,0,16,5,7,31,2474,85,38,420,143,525,14,9,13,1.6270992916077798,98,1004.2106177147807,0.3217405004875382,1
3,18,0,19,4,8,6,3242,67,168,322,125,207,7,9,10,2.674059495808535,119,1005.500446058771,1.5245064190318898,0
2,8,2,8,4,6,20,14467,52,39,433,194,228,9,5,16,0.4236710083285844,100,1919.0412553010033,2.2064351649997427,1
3,6,6,17,0,10,19,4243,77,46,420,183,311,11,12,18,4.86558435468371,33,1855.3428344505337,2.976224293774069,1
6,3,5,5,16,0,25,7990,119,97,202,239,330,19,4,17,1.8642935194605577,83,760.1505280472165,1.8874405019109575,0
3,20,6,16,18,12,67,6160,285,77,381,231,387,13,13,14,2.441550039074366,24,576.3046318055591,1.1108791993239533,0
5,17,2,6,13,2,85,4134,221,140,405,186,674,19,9,28,1.840891473760921,67,1727.2679778807315,0.6784547994063552,0
5,12,5,8,11,7,14,3070,198,182,239,211,563,6,11,19,3.444307477569381,73,1830.8343278798538,2.618490702459961,0
5,10,6,18,9,2,84,1359,77,152,258,228,403,8,3,20,3.344937575815006,73,1174.8744610372764,2.4436956363405082,0
5,23,0,12,19,7,78,11233,281,178,261,188,411,16,6,24,3.605079321592765,87,1332.9626800107808,0.7017684623381546,0
6,3,4,15,17,0,85,2141,103,130,331,165,475,11,8,15,1.4139018250984123,84,662.445712446128,0.6018962704397204,1
4,20,5,9,10,4,91,2635,231,131,259,230,272,5,9,24,1.6467755577039236,10,1641.4448383613442,2.145410330433527,0
7,3,3,13,1,3,13,14691,114,94,321,221,442,17,12,14,0.713731032371419,90,1337.8203712082416,0.9448561857562784,1
2,9,3,15,17,4,26,5000,149,80,306,248,301,6,9,28,3.311998862045952,15,1106.3243203363938,0.9191963950858735,1
5,4,1,10,6,7,39,11135,70,65,295,183,370,13,12,28,0.2950059239446975,89,308.1954009411125,0.4568707412029658,0
3,8,5,16,14,9,57,13966,284,110,434,215,387,17,4,19,3.02864344406495,60,1848.6829325200767,0.7919265591294897,1
5,23,4,7,10,14,27,4361,276,156,261,215,640,14,6,21,4.361509835773006,93,1307.812556691931,1.2825226727779486,0
3,2,2,17,17,13,25,7583,62,117,455,137,285,11,7,13,4.465077526619204,112,546.8439704473424,2.1985150118172467,1
7,16,0,7,11,3,62,8835,106,133,248,242,675,16,14,27,2.3002850258128125,79,1291.495010569495,1.0089242832412493,0
7,2,1,14,5,10,65,12172,98,44,358,209,251,14,3,25,2.3505880722440615,6,1419.4340376319522,0.9858130184395281,0
7,15,3,15,19,3,24,1006,167,125,323,145,310,11,3,17,0.4771489967392851,15,1146.386606029806,0.8547397576573075,0
3,3,2,7,12,14,2,4267,103,196,406,124,242,10,12,13,3.3867486246708753,98,1492.5831283208406,1.434851002533129,0
5,17,2,9,19,2,71,7564,187,152,247,120,410,7,5,21,4.124171159826943,15,1246.6171062715237,0.541910093823946,1
7,16,0,19,15,6,43,10783,102,30,335,220,399,14,12,11,1.298809767563094,39,1905.985247657867,1.4568922020963766,1
6,6,5,16,17,2,96,5928,93,180,400,221,225,7,5,13,2.164374320003487,11,296.65474147875227,2.11252666858407,1
3,23,3,8,9,11,41,12456,96,151,449,232,498,6,14,14,4.210312750149825,34,391.24227524520893,0.08937151209786653,1
3,22,4,18,7,2,98,3606,102,196,494,169,276,15,10,12,4.397890291545211,112,512.6089465178118,0.029338140917285593,1
5,4,2,18,17,10,5,12411,123,155,408,212,336,10,11,18,1.2915819032947073,20,1442.307927087798,0.22536873046352768,0
3,11,0,7,0,9,38,6906,95,86,410,206,219,8,13,27,2.797796109252685,49,1362.0725709496555,1.6069801851843364,0
3,16,4,3,7,4,51,4273,62,110,391,211,639,9,14,20,1.0432164381155526,42,1805.7059483774492,2.5633652495562105,0
7,22,5,18,5,4,22,8611,214,191,243,207,410,7,3,12,0.5992059442838271,99,1519.1794151910171,0.014653398060755829,0
5,12,3,10,4,13,88,1913,151,198,228,146,750,10,13,11,4.564490456820592,111,1115.039877616266,2.809983913754043,0
7,22,5,7,14,5,49,3011,73,102,258,190,634,15,4,18,4.120486770737335,16,1985.2972264345344,0.3188355347116074,1
7,2,2,17,14,7,42,2442,51,170,270,117,406,16,12,23,3.8241710188355524,31,678.9943211047384,2.5259505841746788,0
5,8,4,14,1,9,18,6546,263,99,291,248,638,7,4,13,0.3389549621843881,40,1699.744987613817,1.4485642949488402,0
2,16,4,3,0,5,68,12246,130,35,464,203,241,18,6,18,4.2342710842802616,5,968.2226699490549,1.9780721618365318,1
7,16,4,12,10,14,50,14790,149,113,419,139,610,19,4,22,2.2464159719363805,87,1367.7232499763215,1.5320489533415471,1
6,19,2,13,9,11,10,12738,191,81,414,237,722,18,9,27,1.7777361041497124,26,1509.0832468143813,1.431144675538064,0
6,15,2,2,17,0,11,13413,187,32,476,188,626,12,11,24,2.777734169024345,19,1340.7573569426054,2.5046982850931743,0
3,21,5,3,17,14,73,14104,212,110,263,160,474,13,9,19,0.5476308893454236,24,452.9131455954679,2.267659138703449,1
6,12,1,5,16,7,7,12120,202,92,491,104,647,8,14,25,3.8075680918267545,65,997.311819346279,1.4502067095690125,0
3,18,5,11,7,7,23,2829,180,78,444,221,568,19,8,21,2.95393187675265,8,1210.5890802796239,0.3349077881881848,0
2,16,3,8,14,8,91,9767,160,105,261,154,419,13,12,29,1.014291474678521,91,1728.2787665214742,0.3462088779432244,0
5,3,0,12,7,8,40,7468,151,141,369,136,776,16,3,14,1.0223377788683234,52,998.5623478374301,2.4046183821572265,1
5,11,4,7,16,1,35,14703,66,138,468,155,431,11,13,11,1.0028183927061038,60,1853.7451486476527,1.5881718640426004,0
5,8,1,15,11,14,84,1929,61,94,466,201,527,7,12,19,0.3793116990044766,37,992.6736014453792,1.4447674206580878,0
6,18,0,17,7,1,71,12951,231,110,253,192,642,11,11,10,2.9802124019212557,2,1187.8037466734208,2.0417005240821453,1
2,11,1,4,13,2,54,4699,165,44,215,172,251,18,7,16,4.21770607018369,83,1633.3142292970417,2.576524750242781,1
6,8,6,13,3,0,8,10655,73,129,207,158,575,5,13,26,0.18574124853820415,69,1249.5218319598584,1.8866194332399155,1
6,6,5,18,0,3,46,12467,78,61,303,101,462,7,7,25,0.3401227603592404,102,1928.3925302890843,2.288543707039437,0
2,13,2,1,0,13,14,14120,220,125,258,203,466,10,8,12,2.906574355766035,96,1388.6044949254297,2.2958115723508707,1
2,19,4,16,18,3,47,2054,202,157,239,150,558,8,11,23,4.115528858391657,54,1140.877017321682,1.068784346378877,0
2,18,5,13,15,13,81,6744,277,175,436,129,516,11,10,19,1.7010205637863047,0,242.46554200543255,0.8222495869229871,1
2,14,0,10,13,8,41,2900,171,142,293,110,523,18,10,16,1.8131105541578387,100,944.7192156445936,2.403492201525476,0
5,15,6,12,15,8,59,10649,237,112,421,207,762,7,10,26,3.0220978377342025,69,738.6471546682887,1.1315363753527306,1
4,20,6,2,4,8,83,7980,139,72,403,175,620,5,3,15,1.4436431567083203,44,1546.5902021974805,2.7100080195681153,0
4,4,6,3,8,9,69,8069,279,145,337,189,245,13,3,13,0.23038099378065227,97,574.8998152763825,0.20907209019035888,0
2,2,0,10,1,6,11,10591,114,192,499,222,799,19,10,26,3.702619738697821,46,569.3961571293293,0.17465253622601895,1
4,11,0,2,17,13,1,4415,133,107,406,224,468,10,7,18,3.1656845734131207,78,541.1342778272782,2.781012480304225,1
4,19,0,13,5,14,6,1442,168,87,280,221,580,12,11,13,2.9457043953727298,108,426.10810368122463,1.9453647425443046,0
2,20,0,13,8,1,79,12842,205,62,417,193,317,7,4,16,3.7342522320599336,25,759.8126066075973,1.1387980693449968,1
4,3,6,18,0,9,2,7218,65,43,201,202,765,12,11,11,3.4086311040539843,13,1794.6598059981652,2.2651812444485486,0
6,20,6,3,8,4,2,5652,224,191,377,130,315,6,14,26,1.1088217420737738,53,1594.8712501507189,2.016980429980924,1
3,22,1,7,15,3,26,8939,258,161,478,151,459,16,10,17,1.8271571300224208,70,1523.4521893522283,1.5936031404587887,1
3,15,5,14,12,11,39,8833,153,88,345,188,274,8,11,24,0.7179396942252625,45,1635.206250169933,0.29662002798795406,0
2,6,4,17,8,10,32,10370,141,186,423,175,679,7,6,24,0.7362993657476171,30,684.9522007932289,2.4365387618782544,1
5,12,2,12,12,7,91,8597,235,112,261,228,504,14,3,17,3.4133591571470427,87,1797.395043354478,2.598069572041874,1
2,20,6,16,8,1,0,5458,253,163,493,121,206,5,3,25,4.307140524214241,58,447.14607525488793,0.5165060656579473,0
5,9,2,12,10,5,7,7591,76,150,438,139,565,19,7,28,4.817389660919581,94,805.4223080880475,2.5515349559312,0
3,6,5,15,3,12,31,10449,295,197,394,200,722,17,4,20,3.178900875992278,28,1256.1466141412172,2.6335419330496928,1
2,13,5,10,1,4,47,12826,230,112,365,210,547,17,10,11,1.0020964844686893,105,385.2291590156011,1.648285836865548,0
7,4,2,7,5,14,3,11033,219,56,421,228,637,11,12,26,0.6176866926997605,95,1514.2343379975648,1.9685371086680612,1
6,2,6,5,13,11,93,3309,236,109,260,164,414,15,13,25,4.082969760530113,16,897.0428867662549,1.1467119600434743,1
4,22,2,1,3,1,69,7268,224,163,328,248,628,14,7,24,2.935906734163997,13,1611.9301980951202,0.845374942527798,0
5,10,1,17,5,10,18,1910,271,42,372,178,697,6,7,22,3.1295966029672275,103,1087.2133140522849,2.1659494408549342,0
7,10,3,3,18,9,31,5340,282,93,355,121,739,8,4,24,3.9291642348980758,35,525.5741439656055,2.5856254470474247,0
4,17,6,13,5,14,8,13829,211,176,309,198,566,13,9,13,3.5460584158890134,57,1522.57126043962,1.9622326588672427,0
4,14,6,14,1,0,11,5009,214,109,468,107,512,10,10,25,4.188845438994874,111,653.8591205100984,1.5347718319396475,0
2,11,4,18,17,7,10,7628,183,152,477,116,737,12,12,21,0.3754481367534046,23,1083.458542282477,0.4767743005325147,0
4,8,0,4,12,1,45,3169,184,72,273,116,253,6,3,13,3.762851120057874,108,335.9598844824337,0.16037613781445448,1
6,9,3,18,8,6,15,3172,273,118,406,189,740,11,4,12,4.269178510878268,62,1312.159977941666,1.3370753707402394,1
7,11,5,5,18,8,0,6668,273,177,478,240,666,10,12,26,1.5020617080457404,117,1398.543979189299,0.14804869109226382,0
4,16,6,16,12,8,62,7313,294,124,403,244,363,17,6,27,3.2381916425669393,90,881.6135779510104,1.7080038957216752,1
2,5,2,1,10,7,20,9315,202,180,360,180,533,18,7,27,1.6393941128011635,24,1917.961004577933,1.1481875739533138,1
6,6,3,14,0,10,29,9036,82,31,227,177,746,13,4,26,4.794058225764025,58,1773.504058667723,2.2715673590459082,1
3,13,4,15,6,13,12,12350,104,149,456,105,547,11,3,21,0.2637755049339684,31,1474.2936483319904,0.9169454905085503,1
7,12,5,9,14,11,33,7789,235,51,364,209,472,5,11,13,2.94098493478148,115,1484.5737340887367,1.7789481029022962,0
4,7,0,15,0,9,3,1785,56,144,262,113,613,18,3,21,0.915867380542624,81,654.3230868958722,1.6130505652653016,1
2,9,0,17,11,8,27,7139,293,86,221,171,699,12,6,29,3.589879005368078,109,1382.2674159592082,0.014137276566723478,1
3,8,4,4,6,1,94,7344,106,101,269,242,292,15,4,24,0.9618623887514443,17,556.7712774239353,0.21716819479293104,0
3,17,4,12,14,5,58,3416,175,36,295,153,278,14,13,25,1.2533779833019523,36,459.20580305567984,0.8711046374580615,0
5,1,2,5,18,3,26,9988,61,148,362,126,416,19,6,14,2.522416974124215,25,1999.0422095646443,2.6467052430622955,0
6,4,6,5,0,13,68,13364,65,143,278,112,557,7,10,24,4.582691254984702,8,1320.2766766517134,0.4410448646993357,0
4,4,0,11,16,3,24,5154,257,45,204,159,706,18,10,26,1.1374004235250572,98,975.7781707829429,2.1326829913816248,1
2,5,5,6,16,4,2,6619,92,112,319,105,758,6,13,27,0.8067761034787073,63,718.6961411911124,2.920099698456862,0
5,18,3,7,2,11,96,2936,166,101,377,157,380,16,14,14,3.8189864760847505,71,1287.0567985920093,2.3717026580734655,1
6,7,5,14,11,2,67,11348,277,153,375,148,775,7,11,22,2.553035708436262,19,289.26831479615504,0.7288360850611318,1
5,15,1,11,5,13,24,4807,254,142,416,125,445,15,13,28,4.56774705067068,53,370.4257829086311,2.725095781239245,0
7,12,1,13,10,0,19,8151,184,41,255,146,443,10,14,22,0.8184113300832272,105,259.14205593271345,0.27932146952517023,0
6,0,4,2,2,7,33,10493,277,155,386,104,705,17,7,27,3.265046675812893,85,1098.505699872791,1.4044258256122073,0
6,21,2,7,7,4,25,13355,160,82,431,119,621,18,9,23,1.241107816143894,82,1281.0919325369287,2.662625723179241,0
4,19,1,4,13,2,4,12332,100,104,454,233,519,7,5,13,0.8681261003930326,29,312.4635704440775,1.9237971277706092,0
6,16,0,8,13,9,98,4236,250,162,303,158,286,14,12,13,3.4488041342706257,52,1498.2040414980497,1.2409336941830964,0
5,6,5,19,9,13,60,3352,209,56,276,245,416,9,6,29,3.009054637552793,91,614.711128726216,0.8784386002115063,1
6,12,5,13,1,6,91,2932,124,169,429,231,689,10,12,29,3.7986545459754235,98,1433.362616785759,1.1252982159550498,1
4,3,4,14,13,6,92,11913,57,174,457,116,718,12,11,28,1.6163666245862938,106,1967.4148520634421,1.5268253430278587,1
4,3,6,10,8,0,8,9556,274,163,463,113,477,11,12,22,2.295061116272731,62,1443.990566096932,0.9571317896184222,1
7,5,6,11,2,11,49,5916,264,126,381,112,368,18,12,21,2.0868112140190505,10,1789.7474952624952,2.906903586246899,0
5,18,3,2,7,8,5,6498,266,34,455,234,529,15,14,16,4.922038373435919,30,1906.7573121375212,2.7992329591984353,0
3,11,4,9,15,14,82,11582,297,86,237,227,640,12,3,21,1.532019888023001,48,1076.1518870341679,2.612014404642962,1
3,21,3,17,1,1,59,1946,249,185,375,143,590,7,4,13,1.544604467899158,111,1464.1849629554722,1.26548950656796,1
6,6,6,3,5,4,43,14865,94,107,226,218,695,8,7,11,1.8372862232601763,102,1733.5446564005151,2.0739053080056866,1
7,9,4,6,11,12,10,10569,263,98,475,242,580,10,5,11,2.8665109983225756,99,841.896043173895,2.708487921107894,0
2,18,4,5,4,13,65,2439,108,147,339,118,505,15,4,14,1.3363814468923518,93,670.5151698087109,2.551288463036784,0
6,6,4,5,1,4,46,12372,181,149,498,162,712,11,3,19,4.584920707858442,86,1903.8774310010097,1.2429810420606229,0
7,2,6,15,15,13,72,8730,153,88,486,180,387,13,12,19,1.4018592678446913,18,1507.3463006638724,0.3371581479667821,1
5,12,3,17,4,7,84,5857,244,62,290,246,715,17,5,18,4.489497084644954,11,595.4278400764874,0.2268910915036484,1
5,12,3,9,14,13,87,1340,206,91,260,247,626,5,3,22,0.6070278118682648,14,1008.3501068170042,1.7311921356771078,0
5,17,4,3,11,7,97,12181,282,79,362,199,701,17,14,16,3.317157241758297,30,1633.6131851680568,1.927883805632795,0
5,19,1,17,3,13,85,1382,206,141,342,221,459,19,3,14,4.544229040347394,42,1184.7133836531957,2.549527813791072,1
5,7,2,10,14,6,2,14291,147,48,452,143,712,12,14,19,0.9268722481513247,100,1369.9137766986003,0.8775450610230932,1
7,8,6,3,10,6,75,10748,275,152,468,203,270,12,3,19,4.84480210448635,36,1556.7827636810941,0.5024114716501275,0
7,6,2,18,15,11,91,9491,205,76,490,160,677,10,10,15,2.3191284660360076,78,1319.616539856165,1.1370174995345983,1
4,0,2,18,5,10,29,1138,254,196,386,224,377,8,5,28,4.73400403136102,28,1172.1427794599524,1.0607253708968252,0
3,2,3,17,13,5,89,1358,128,62,490,244,656,7,13,17,3.4164182137872308,113,1549.3057118979923,0.39740686205356424,0
5,12,3,3,17,5,20,5931,173,170,285,170,388,15,3,10,1.5777756623804027,106,1509.6134637779612,2.0168479575394564,1
2,16,1,3,11,10,27,10714,264,113,365,206,490,7,9,26,1.0226823720938216,25,1333.7703203297222,1.5260758221881279,1
7,23,2,6,10,8,89,4456,221,164,313,149,719,10,12,16,1.5883017265029873,107,847.6209440874733,2.163368268344299,1
2,0,2,13,12,5,61,2627,267,108,382,164,491,17,5,23,0.5557853053871075,1,930.4617659604888,1.058073360509204,0
2,5,4,15,10,11,32,10495,53,43,406,198,482,12,10,26,0.8049530350823159,83,1946.7893879913754,0.9771066347331069,1
2,20,3,9,15,12,84,7626,139,176,455,131,743,11,6,18,0.6128361576977576,14,402.2946781247465,1.417727559131567,1
4,5,2,4,14,12,34,6004,153,157,434,240,576,15,6,26,2.1724233643336333,115,683.3088510551036,2.632222036185441,0
7,11,5,14,14,1,51,10326,186,83,202,157,355,5,7,14,3.9983340436621737,3,1086.3231665678043,0.12084392020194101,0
2,12,1,5,3,1,33,11378,168,177,407,227,707,15,8,29,0.7927794156600669,85,1706.1134350588145,2.414498451889416,1
5,12,5,2,10,12,40,14283,182,58,396,241,612,10,9,17,0.7385701225444459,49,494.61619471351014,1.1069628379732694,0
6,14,5,11,18,4,50,7652,105,53,324,211,727,11,6,15,3.252801852634921,37,698.5183126242978,2.5638570773654332,0
2,20,6,9,14,14,46,7416,145,111,337,167,554,16,10,20,1.0661966116435249,22,318.4367920314302,2.4066090265075695,0
4,15,6,3,3,3,81,4170,261,92,224,139,758,11,8,28,0.5782891867340589,58,1470.7734788914731,1.0462837421882651,1
7,21,1,9,12,10,57,4835,227,134,267,243,386,13,3,13,0.9175580332073304,89,628.776983856109,2.081629605964848,1
4,20,5,3,18,1,74,9017,124,86,260,231,230,15,3,27,4.626283839796203,114,899.6145512077109,0.4788982703203204,0
2,10,2,2,1,14,56,3151,192,165,228,189,459,15,11,10,4.125209138603335,74,998.6626046534021,2.688844656491364,0
7,4,3,12,13,14,22,10429,81,91,218,127,620,14,12,22,1.8349163555399612,27,1804.3650840916202,1.2134731933557283,0
6,3,1,10,3,2,47,12927,77,186,370,195,728,9,8,23,3.313521759904225,119,940.3945225962262,1.3668768460656007,1
2,2,4,9,15,6,21,7905,71,46,273,130,750,5,12,10,2.7326508009733868,65,461.4050358474483,2.1172771531109547,0
4,18,5,15,19,7,16,3834,282,95,260,102,503,6,10,20,3.4179088910645636,7,1143.7668890122177,2.462520710114553,0
3,19,1,8,13,11,68,13452,66,35,352,235,238,19,9,26,3.445088647067521,28,1933.3243903675334,0.7090282299846288,1
5,17,0,5,14,12,10,10190,108,87,475,123,688,8,14,13,3.180796673793966,10,1293.83415389146,1.9840504196309863,0
4,14,0,11,2,5,93,3567,139,98,247,114,741,9,8,21,1.4038967058328122,100,1970.0969968290306,1.1759941316674456,1
7,8,6,2,7,10,14,2307,285,185,410,144,477,13,6,19,0.29113146173780885,17,1713.993156089966,1.106108772011884,1
2,16,3,15,15,4,90,9848,248,91,338,107,402,15,9,15,2.3322772317515335,54,264.73836118414306,2.070077471821964,1
5,13,2,6,9,12,34,3660,155,198,309,170,265,19,11,10,4.4657720349844485,49,1385.1192716786754,1.1615498224678031,0
2,14,3,8,3,0,32,11403,234,111,382,207,307,5,13,16,2.890536566741022,13,716.1803796041905,1.0383255004932228,0
7,0,3,5,17,7,83,11101,75,198,227,214,467,7,12,25,4.178716104339348,117,1207.310340160503,2.5076652243787274,1
2,20,3,16,1,2,15,4730,74,100,396,202,421,9,12,23,4.958959280510018,73,702.8213436762078,0.3038283714930191,0
3,21,3,18,16,14,33,11238,187,160,390,224,729,7,9,29,0.9017194002775537,98,827.9667498895227,2.027677868490632,1
5,21,4,6,12,5,65,7207,94,39,250,156,289,8,3,29,3.4897104317957135,8,1861.7036811575229,0.7461761813718739,0
5,2,4,5,3,2,98,4162,132,127,348,129,454,19,12,15,3.404038511130121,98,571.9577328050696,0.04649472547857092,1
7,15,6,16,10,6,39,2140,60,118,467,245,654,18,11,14,4.901781692055565,10,1773.3964124464949,0.5002928066180761,1
3,22,1,13,6,12,27,9458,254,64,249,213,452,7,6,27,4.9294435963687215,62,254.82405452689426,1.8199845893276032,0
4,10,0,5,11,13,46,11037,230,31,445,216,456,8,5,24,3.4647251974482347,107,363.5777690653671,2.127381574457812,0
2,11,3,13,9,6,38,2708,249,153,312,159,582,18,6,15,1.293712480712752,75,1738.4150744916744,0.06317335066896013,0
6,9,6,17,6,11,69,4630,153,53,369,197,641,19,6,28,4.012923606839935,66,1335.0008556365515,0.10927632990516045,0
2,15,1,18,12,14,72,4211,117,103,365,225,798,17,12,10,0.6244427576340867,52,1545.0250484711905,2.707626344528859,1
2,7,0,8,6,8,19,11485,288,195,213,193,289,17,13,10,3.925426590440981,38,576.9518074793377,0.2199174543411595,1
4,5,5,13,16,4,0,12924,144,51,402,233,589,19,4,22,4.5599610083090125,77,1166.7502200621864,2.6825464758497137,0
2,11,2,19,9,14,71,13021,205,183,487,221,781,19,14,12,1.975883634365333,55,1526.9946024283486,0.6844977412527173,0
3,23,4,3,9,7,86,7538,252,68,388,207,243,5,3,19,3.1901129454170944,27,1329.1654466184725,2.2200534004746384,1
3,20,5,8,3,9,62,10702,284,186,354,103,797,16,14,12,2.2076993872744493,74,1049.057780404177,0.9291997468380362,0
